Unnamed: 0,Item_id
354,2620841
377,2579049
382,2529475
401,2528101
404,2556822
432,2613440
435,2580284
438,2282890
440,2282888
464,2579753
489,2597881
511,2602996
519,2584372
523,2602997
530,2597882
534,2604782
538,2606445
552,2604013
559,2620472
563,2538316
566,2527755
615,2567767
617,2624663
645,2567618
648,2606449
658,2620489
661,2592765
715,2592764
719,2615423
730,2567766
737,2609225
738,2593140
755,2580766
756,2625086
798,2604018
825,2584043
829,2592463
835,2592764
838,2623893
857,2592765
862,2604018
866,2537789
876,2580624
883,2578724
915,2597535
920,2593144
933,2625693
945,2282772
985,2582653
986,2607060
993,2556547
1009,2597892
1011,2503490
1039,2566420
1064,2602999
1065,2609268
1069,2524150
1083,2556547
1098,2604018
1107,2604540
1151,2537277
1155,2625693
1162,2510398
1167,2583982
1180,2617588
1188,2561093
1193,2568308
1245,2610500
1260,2605295
1270,2574310
1289,2607218
1296,2607217
1314,2212995
1316,2604054
1333,2500446
1346,2107730
